epoch,step,train_accuracy,train_auc_ovo,train_auc_ovr,train_f1,train_loss,train_pr_auc,val_accuracy,val_auc_ovo,val_auc_ovr,val_f1,val_loss,val_pr_auc
0,9,,,,,1.7746665477752686,,,,,,,
0,12,,,,,,,0.2432432472705841,0.6663888692855835,0.6698681712150574,0.13227513432502747,1.7580287456512451,0.3169896602630615
0,12,0.19863013923168182,0.46497124433517456,0.4659660756587982,0.13203074038028717,,0.16944129765033722,,,,,,
1,19,,,,,1.5283894538879395,,,,,,,
1,25,,,,,,,0.4054054021835327,0.703374981880188,0.7133668661117554,0.2339901477098465,1.6395183801651,0.34279870986938477
1,25,0.30821916460990906,0.6960242390632629,0.7010110020637512,0.23174050450325012,,0.3181820511817932,,,,,,
2,29,,,,,1.5096311569213867,,,,,,,
2,38,,,,,,,0.4054054021835327,0.6818611025810242,0.6889182329177856,0.2564629912376404,1.557247281074524,0.3180887997150421
2,38,0.4109589159488678,0.7479831576347351,0.7505019307136536,0.35170987248420715,,0.351498007774353,,,,,,
3,39,,,,,1.3618383407592773,,,,,,,
3,49,,,,,1.3975639343261719,,,,,,,
3,51,,,,,,,0.2432432472705841,0.7012500166893005,0.7080203294754028,0.16919191181659698,1.5289170742034912,0.36241352558135986
3,51,0.36301368474960327,0.7284365892410278,0.7307677268981934,0.3077169358730316,,0.3366793692111969,,,,,,
4,59,,,,,1.4247345924377441,,,,,,,
4,64,,,,,,,0.2432432472705841,0.7010555267333984,0.7105241417884827,0.16779789328575134,1.5029040575027466,0.3375825881958008
4,64,0.4726027250289917,0.8151495456695557,0.8167364001274109,0.4120270609855652,,0.45372137427330017,,,,,,
5,69,,,,,1.4876881837844849,,,,,,,
5,77,,,,,,,0.18918919563293457,0.707152783870697,0.7173277139663696,0.1414862871170044,1.4833855628967285,0.3369707465171814
5,77,0.4452054798603058,0.8105543851852417,0.8094834089279175,0.39041566848754883,,0.40403738617897034,,,,,,
6,79,,,,,1.0714409351348877,,,,,,,
6,89,,,,,1.3641284704208374,,,,,,,
6,90,,,,,,,0.29729729890823364,0.7220138907432556,0.7287757396697998,0.2166120409965515,1.440671682357788,0.361524373292923
6,90,0.4383561611175537,0.81556236743927,0.8148053884506226,0.41573330760002136,,0.4230244755744934,,,,,,
7,99,,,,,1.2669938802719116,,,,,,,
7,103,,,,,,,0.2702702581882477,0.7241111397743225,0.7296201586723328,0.20683760941028595,1.4215527772903442,0.33554184436798096
7,103,0.45205479860305786,0.8282705545425415,0.8276025056838989,0.4095844030380249,,0.4669341444969177,,,,,,
8,109,,,,,1.490505337715149,,,,,,,
8,116,,,,,,,0.21621622145175934,0.7489583492279053,0.7525345683097839,0.1756410300731659,1.429711103439331,0.36369645595550537
8,116,0.36986300349235535,0.8142399191856384,0.8143323659896851,0.3633711338043213,,0.4063394069671631,,,,,,
9,119,,,,,1.398852825164795,,,,,,,
9,129,,,,,1.559847116470337,,,,,,,
9,129,,,,,,,0.2432432472705841,0.7434999942779541,0.7462730407714844,0.21590909361839294,1.396852731704712,0.3514246344566345
9,129,0.5136986374855042,0.8657189607620239,0.8640749454498291,0.5212774276733398,,0.5485305786132812,,,,,,
10,139,,,,,1.2148940563201904,,,,,,,
10,142,,,,,,,0.2702702581882477,0.7447083592414856,0.7472571134567261,0.26124337315559387,1.377577304840088,0.3610822856426239
10,142,0.43150684237480164,0.8317884206771851,0.8315725922584534,0.433576375246048,,0.48960962891578674,,,,,,
11,149,,,,,1.1616960763931274,,,,,,,
11,155,,,,,,,0.2432432472705841,0.7552083134651184,0.756166398525238,0.2092592567205429,1.367608904838562,0.3712272047996521
11,155,0.5273972749710083,0.8710024952888489,0.8704207539558411,0.5192771553993225,,0.5466601848602295,,,,,,
12,159,,,,,1.2129930257797241,,,,,,,
12,168,,,,,,,0.2432432472705841,0.7452777624130249,0.7477990984916687,0.18987905979156494,1.3762264251708984,0.3627384305000305
12,168,0.45205479860305786,0.8429592847824097,0.8437966108322144,0.4375518560409546,,0.4719742238521576,,,,,,
13,169,,,,,1.1299792528152466,,,,,,,
13,179,,,,,1.0565342903137207,,,,,,,
13,181,,,,,,,0.21621622145175934,0.7463889122009277,0.7466708421707153,0.1666666716337204,1.3766529560089111,0.36209017038345337
13,181,0.5273972749710083,0.873869001865387,0.8730612397193909,0.5208904147148132,,0.5619401931762695,,,,,,
14,189,,,,,1.583208680152893,,,,,,,
14,194,,,,,,,0.21621622145175934,0.7387083172798157,0.7421548962593079,0.18817849457263947,1.4038156270980835,0.3563927412033081
14,194,0.45205479860305786,0.8529237508773804,0.8508769869804382,0.44106367230415344,,0.5013817548751831,,,,,,
15,199,,,,,1.2715792655944824,,,,,,,
15,207,,,,,,,0.21621622145175934,0.7632638812065125,0.7635848522186279,0.21696603298187256,1.3640027046203613,0.3927341103553772
15,207,0.5479452013969421,0.8718823194503784,0.8705785274505615,0.5316943526268005,,0.564731776714325,,,,,,
16,209,,,,,1.113320231437683,,,,,,,
16,219,,,,,1.2997618913650513,,,,,,,
16,220,,,,,,,0.2432432472705841,0.7580416798591614,0.7583858966827393,0.20554722845554352,1.3724687099456787,0.36845552921295166
16,220,0.4178082048892975,0.8397338390350342,0.8382322788238525,0.4118541479110718,,0.46680161356925964,,,,,,
17,229,,,,,0.9295719265937805,,,,,,,
17,233,,,,,,,0.2432432472705841,0.7451111078262329,0.7469066381454468,0.20331057906150818,1.3829036951065063,0.3574010133743286
17,233,0.5479452013969421,0.8912919759750366,0.8911468982696533,0.5421038866043091,,0.5995464324951172,,,,,,
18,239,,,,,1.8010895252227783,,,,,,,
18,246,,,,,,,0.2432432472705841,0.7373194694519043,0.7410245537757874,0.20266123116016388,1.402610182762146,0.3387987017631531
18,246,0.4931506812572479,0.8810768723487854,0.879683256149292,0.4987180829048157,,0.5706652998924255,,,,,,
19,249,,,,,1.0947265625,,,,,,,
19,259,,,,,2.1075825691223145,,,,,,,
19,259,,,,,,,0.21621622145175934,0.7324861288070679,0.7355760335922241,0.18967421352863312,1.3961902856826782,0.335041344165802
19,259,0.43150684237480164,0.8378641605377197,0.8375918865203857,0.4189515709877014,,0.4850103259086609,,,,,,
20,269,,,,,1.0080983638763428,,,,,,,
20,272,,,,,,,0.2432432472705841,0.7442916631698608,0.7470410466194153,0.20266123116016388,1.389448642730713,0.3534459173679352
20,272,0.4383561611175537,0.8467181324958801,0.8462291955947876,0.437032550573349,,0.43771785497665405,,,,,,
21,279,,,,,1.1368612051010132,,,,,,,
21,285,,,,,,,0.2432432472705841,0.7467638850212097,0.7490817904472351,0.20266123116016388,1.3850456476211548,0.35058870911598206
21,285,0.5136986374855042,0.8671518564224243,0.8651222586631775,0.5143388509750366,,0.5381200909614563,,,,,,
22,289,,,,,0.9039921760559082,,,,,,,
22,298,,,,,,,0.2432432472705841,0.754194438457489,0.7561711072921753,0.20266123116016388,1.3820741176605225,0.36892542243003845
22,298,0.4178082048892975,0.8594349026679993,0.856147289276123,0.40831583738327026,,0.5060043931007385,,,,,,
23,299,,,,,1.0260522365570068,,,,,,,
23,309,,,,,0.8977817296981812,,,,,,,
23,311,,,,,,,0.2432432472705841,0.7481527924537659,0.7499626278877258,0.21076007187366486,1.3797856569290161,0.35842975974082947
23,311,0.5068492889404297,0.8765892386436462,0.8736122846603394,0.4990379810333252,,0.5739620327949524,,,,,,
24,319,,,,,1.1263781785964966,,,,,,,
24,324,,,,,,,0.2432432472705841,0.7559305429458618,0.7573179006576538,0.21316826343536377,1.3771932125091553,0.3564671576023102
24,324,0.534246563911438,0.8701792359352112,0.8685277104377747,0.5216932892799377,,0.5523505806922913,,,,,,
25,329,,,,,1.1536035537719727,,,,,,,
25,337,,,,,,,0.2702702581882477,0.7480139136314392,0.7510761022567749,0.23831908404827118,1.3904352188110352,0.3527796268463135
25,337,0.465753436088562,0.8680632710456848,0.8664606213569641,0.4572068154811859,,0.5286642909049988,,,,,,
26,339,,,,,1.1431013345718384,,,,,,,
26,349,,,,,1.051895260810852,,,,,,,
26,350,,,,,,,0.2432432472705841,0.7493333220481873,0.7521798014640808,0.22048228979110718,1.391904592514038,0.37938618659973145
26,350,0.568493127822876,0.8879282474517822,0.8874261975288391,0.5577620267868042,,0.5944907665252686,,,,,,
27,359,,,,,0.9134847521781921,,,,,,,
27,363,,,,,,,0.21621622145175934,0.7683749794960022,0.766566276550293,0.19218184053897858,1.370279312133789,0.390977680683136
27,363,0.5547945499420166,0.886933445930481,0.8851618766784668,0.5553434491157532,,0.5771670341491699,,,,,,
28,369,,,,,1.18839430809021,,,,,,,
28,376,,,,,,,0.21621622145175934,0.7648611068725586,0.7620023488998413,0.17042946815490723,1.3882042169570923,0.38153374195098877
28,376,0.45890411734580994,0.8747578859329224,0.8740537762641907,0.45669957995414734,,0.5685962438583374,,,,,,
29,379,,,,,1.0491865873336792,,,,,,,
29,389,,,,,1.1188807487487793,,,,,,,
29,389,,,,,,,0.2432432472705841,0.7554166913032532,0.7553759217262268,0.1912679374217987,1.406730055809021,0.3782782256603241
29,389,0.5821917653083801,0.8909822106361389,0.8887781500816345,0.5741443037986755,,0.6132076978683472,,,,,,
30,399,,,,,1.1360220909118652,,,,,,,
30,402,,,,,,,0.3243243098258972,0.7553333044052124,0.7572698593139648,0.31520384550094604,1.3911702632904053,0.39268940687179565
30,402,0.5479452013969421,0.8941603302955627,0.8924160599708557,0.5308100581169128,,0.5920788645744324,,,,,,
31,409,,,,,0.9715223908424377,,,,,,,
31,415,,,,,,,0.29729729890823364,0.7629861235618591,0.7656483054161072,0.2613876461982727,1.3999958038330078,0.38793516159057617
31,415,0.5273972749710083,0.8822522163391113,0.8808873891830444,0.5135648250579834,,0.5713751912117004,,,,,,
32,419,,,,,1.091821551322937,,,,,,,
32,428,,,,,,,0.2432432472705841,0.7648888826370239,0.7664465308189392,0.21719947457313538,1.4035377502441406,0.39602839946746826
32,428,0.4726027250289917,0.8754127621650696,0.8741641044616699,0.4730243682861328,,0.5373243689537048,,,,,,
33,429,,,,,1.175967812538147,,,,,,,
33,439,,,,,0.7777729630470276,,,,,,,
33,441,,,,,,,0.3513513505458832,0.7777777910232544,0.7786283493041992,0.31000304222106934,1.355110764503479,0.41897857189178467
33,441,0.5,0.8793315887451172,0.8772847056388855,0.49330368638038635,,0.5581127405166626,,,,,,
34,449,,,,,1.0119861364364624,,,,,,,
34,454,,,,,,,0.2432432472705841,0.7640138864517212,0.7637469172477722,0.23389475047588348,1.4048967361450195,0.40115562081336975
34,454,0.568493127822876,0.9094439148902893,0.9069036841392517,0.5688983201980591,,0.6489761471748352,,,,,,
35,459,,,,,1.1364152431488037,,,,,,,
35,467,,,,,,,0.2432432472705841,0.7701528072357178,0.7699706554412842,0.24229936301708221,1.3967456817626953,0.40220755338668823
35,467,0.5753424763679504,0.8985636830329895,0.8973185420036316,0.5657474994659424,,0.6355687379837036,,,,,,
36,469,,,,,0.7911348938941956,,,,,,,
36,479,,,,,1.132749319076538,,,,,,,
36,480,,,,,,,0.29729729890823364,0.7935000061988831,0.7990517020225525,0.2906593382358551,1.3243296146392822,0.4221283793449402
36,480,0.534246563911438,0.8920281529426575,0.8905911445617676,0.5389713048934937,,0.6269487142562866,,,,,,
37,489,,,,,0.9989950656890869,,,,,,,
37,493,,,,,,,0.2432432472705841,0.7806249856948853,0.7805032134056091,0.21570183336734772,1.4192880392074585,0.43088841438293457
37,493,0.5821917653083801,0.9038034677505493,0.9024456739425659,0.5839626789093018,,0.6499870419502258,,,,,,
38,499,,,,,0.927870512008667,,,,,,,
38,506,,,,,,,0.29729729890823364,0.768750011920929,0.7699546217918396,0.2549248933792114,1.4610012769699097,0.4139384627342224
38,506,0.5821917653083801,0.9108457565307617,0.9095152616500854,0.5651084184646606,,0.640030562877655,,,,,,
39,509,,,,,1.0036743879318237,,,,,,,
39,519,,,,,0.8175331354141235,,,,,,,
39,519,,,,,,,0.2702702581882477,0.7648611068725586,0.7700681686401367,0.2693050503730774,1.529917597770691,0.41755378246307373
39,519,0.534246563911438,0.8910751938819885,0.8897532224655151,0.5291147828102112,,0.6253958344459534,,,,,,
40,529,,,,,1.0758975744247437,,,,,,,
40,532,,,,,,,0.2702702581882477,0.7766388654708862,0.7804850935935974,0.27326008677482605,1.44993257522583,0.44413331151008606
40,532,0.5410959124565125,0.9057833552360535,0.9041856527328491,0.5428736209869385,,0.6257450580596924,,,,,,
41,539,,,,,0.9216643571853638,,,,,,,
41,545,,,,,,,0.3243243098258972,0.7792500257492065,0.7835955619812012,0.28537580370903015,1.4747700691223145,0.40658387541770935
41,545,0.6301369667053223,0.913112223148346,0.9117961525917053,0.623678982257843,,0.6793001890182495,,,,,,
42,549,,,,,0.988669216632843,,,,,,,
